nivel_conhecimento,poupanca,tesouro,renda_fixa,renda_variavel,reserva_valor,quantidade
Avançado,Não,Não,Não,Não,Não,6
Avançado,Não,Não,Não,Não,Sim,3
Avançado,Não,Não,Não,Sim,Não,3
Avançado,Não,Não,Sim,Não,Não,5
Avançado,Não,Não,Sim,Não,Sim,3
Avançado,Não,Não,Sim,Sim,Sim,1
Avançado,Não,Sim,Não,Não,Não,4
Avançado,Não,Sim,Não,Não,Sim,1
Avançado,Não,Sim,Não,Sim,Não,2
Avançado,Não,Sim,Sim,Não,Sim,1
Avançado,Não,Sim,Sim,Sim,Não,2
Avançado,Sim,Não,Não,Não,Não,2
Avançado,Sim,Não,Não,Não,Sim,3
Avançado,Sim,Não,Não,Sim,Não,1
Avançado,Sim,Não,Sim,Não,Não,1
Avançado,Sim,Não,Sim,Não,Sim,1
Avançado,Sim,Não,Sim,Sim,Não,1
Avançado,Sim,Sim,Não,Não,Sim,1
Avançado,Sim,Sim,Não,Sim,Não,2
Avançado,Sim,Sim,Sim,Não,Sim,2
Iniciante,Não,Não,Não,Não,Não,8
Iniciante,Não,Não,Não,Não,Sim,2
Iniciante,Não,Não,Não,Sim,Não,1
Iniciante,Não,Não,Não,Sim,Sim,2
Iniciante,Não,Não,Sim,Não,Não,5
Iniciante,Não,Não,Sim,Não,Sim,2
Iniciante,Não,Não,Sim,Sim,Não,1
Iniciante,Não,Não,Sim,Sim,Sim,1
Iniciante,Não,Sim,Não,Não,Não,2
Iniciante,Não,Sim,Não,Não,Sim,2
Iniciante,Não,Sim,Não,Sim,Não,1
Iniciante,Não,Sim,Não,Sim,Sim,1
Iniciante,Não,Sim,Sim,Não,Não,1
Iniciante,Não,Sim,Sim,Não,Sim,1
Iniciante,Sim,Não,Não,Não,Não,2
Iniciante,Sim,Não,Não,Não,Sim,1
Iniciante,Sim,Não,Sim,Não,Sim,1
Iniciante,Sim,Não,Sim,Sim,Não,1
Iniciante,Sim,Sim,Não,Não,Não,3
Iniciante,Sim,Sim,Não,Sim,Não,1
Iniciante,Sim,Sim,Não,Sim,Sim,2
Iniciante,Sim,Sim,Sim,Não,Não,1
Iniciante,Sim,Sim,Sim,Sim,Não,1
Intermediário,Não,Não,Não,Não,Não,8
Intermediário,Não,Não,Não,Não,Sim,3
Intermediário,Não,Não,Não,Sim,Não,6
Intermediário,Não,Não,Sim,Não,Não,2
Intermediário,Não,Não,Sim,Sim,Sim,2
Intermediário,Não,Sim,Não,Não,Não,2
Intermediário,Não,Sim,Não,Não,Sim,2
Intermediário,Não,Sim,Não,Sim,Não,1
Intermediário,Não,Sim,Não,Sim,Sim,2
Intermediário,Não,Sim,Sim,Não,Não,6
Intermediário,Não,Sim,Sim,Não,Sim,1
Intermediário,Sim,Não,Não,Não,Não,2
Intermediário,Sim,Não,Não,Não,Sim,4
Intermediário,Sim,Não,Não,Sim,Sim,1
Intermediário,Sim,Não,Sim,Não,Não,2
Intermediário,Sim,Não,Sim,Não,Sim,1
Intermediário,Sim,Sim,Não,Não,Não,1
Intermediário,Sim,Sim,Não,Não,Sim,1
Intermediário,Sim,Sim,Não,Sim,Não,1
Intermediário,Sim,Sim,Sim,Não,Não,1
