Data;Nome_Indicador;Area_Analise;Valor;Unidade_Medida;Fonte
1990-02-01;Inadimplência PF Recursos Livres;Risco;112.88;% ao Mês;Banco Central do Brasil (BCB)
1990-03-01;Inadimplência PF Recursos Livres;Risco;94.82;% ao Mês;Banco Central do Brasil (BCB)
1990-04-01;Inadimplência PF Recursos Livres;Risco;105.52;% ao Mês;Banco Central do Brasil (BCB)
1990-05-01;Inadimplência PF Recursos Livres;Risco;138.10;% ao Mês;Banco Central do Brasil (BCB)
1990-06-01;Inadimplência PF Recursos Livres;Risco;125.33;% ao Mês;Banco Central do Brasil (BCB)
1990-07-01;Inadimplência PF Recursos Livres;Risco;151.45;% ao Mês;Banco Central do Brasil (BCB)
1990-08-01;Inadimplência PF Recursos Livres;Risco;157.74;% ao Mês;Banco Central do Brasil (BCB)
1990-09-01;Inadimplência PF Recursos Livres;Risco;128.39;% ao Mês;Banco Central do Brasil (BCB)
1990-10-01;Inadimplência PF Recursos Livres;Risco;116.36;% ao Mês;Banco Central do Brasil (BCB)
1990-11-01;Inadimplência PF Recursos Livres;Risco;97.14;% ao Mês;Banco Central do Brasil (BCB)
1990-12-01;Inadimplência PF Recursos Livres;Risco;109.02;% ao Mês;Banco Central do Brasil (BCB)
1991-01-01;Inadimplência PF Recursos Livres;Risco;70.18;% ao Mês;Banco Central do Brasil (BCB)
1991-02-01;Inadimplência PF Recursos Livres;Risco;69.41;% ao Mês;Banco Central do Brasil (BCB)
1991-03-01;Inadimplência PF Recursos Livres;Risco;80.87;% ao Mês;Banco Central do Brasil (BCB)
1991-04-01;Inadimplência PF Recursos Livres;Risco;88.42;% ao Mês;Banco Central do Brasil (BCB)
1991-05-01;Inadimplência PF Recursos Livres;Risco;98.91;% ao Mês;Banco Central do Brasil (BCB)
1991-06-01;Inadimplência PF Recursos Livres;Risco;95.95;% ao Mês;Banco Central do Brasil (BCB)
1991-07-01;Inadimplência PF Recursos Livres;Risco;117.96;% ao Mês;Banco Central do Brasil (BCB)
1991-08-01;Inadimplência PF Recursos Livres;Risco;124.26;% ao Mês;Banco Central do Brasil (BCB)
1991-09-01;Inadimplência PF Recursos Livres;Risco;101.06;% ao Mês;Banco Central do Brasil (BCB)
1991-10-01;Inadimplência PF Recursos Livres;Risco;174.16;% ao Mês;Banco Central do Brasil (BCB)
1991-11-01;Inadimplência PF Recursos Livres;Risco;130.95;% ao Mês;Banco Central do Brasil (BCB)
1991-12-01;Inadimplência PF Recursos Livres;Risco;149.37;% ao Mês;Banco Central do Brasil (BCB)
1992-01-01;Inadimplência PF Recursos Livres;Risco;102.14;% ao Mês;Banco Central do Brasil (BCB)
1992-02-01;Inadimplência PF Recursos Livres;Risco;99.64;% ao Mês;Banco Central do Brasil (BCB)
1992-03-01;Inadimplência PF Recursos Livres;Risco;90.56;% ao Mês;Banco Central do Brasil (BCB)
1992-04-01;Inadimplência PF Recursos Livres;Risco;90.62;% ao Mês;Banco Central do Brasil (BCB)
1992-05-01;Inadimplência PF Recursos Livres;Risco;95.09;% ao Mês;Banco Central do Brasil (BCB)
1992-06-01;Inadimplência PF Recursos Livres;Risco;100.95;% ao Mês;Banco Central do Brasil (BCB)
1992-07-01;Inadimplência PF Recursos Livres;Risco;106.92;% ao Mês;Banco Central do Brasil (BCB)
1992-08-01;Inadimplência PF Recursos Livres;Risco;90.61;% ao Mês;Banco Central do Brasil (BCB)
1992-09-01;Inadimplência PF Recursos Livres;Risco;96.59;% ao Mês;Banco Central do Brasil (BCB)
1992-10-01;Inadimplência PF Recursos Livres;Risco;94.44;% ao Mês;Banco Central do Brasil (BCB)
1992-11-01;Inadimplência PF Recursos Livres;Risco;113.62;% ao Mês;Banco Central do Brasil (BCB)
1992-12-01;Inadimplência PF Recursos Livres;Risco;110.20;% ao Mês;Banco Central do Brasil (BCB)
1993-01-01;Inadimplência PF Recursos Livres;Risco;74.19;% ao Mês;Banco Central do Brasil (BCB)
1993-02-01;Inadimplência PF Recursos Livres;Risco;72.64;% ao Mês;Banco Central do Brasil (BCB)
1993-03-01;Inadimplência PF Recursos Livres;Risco;93.41;% ao Mês;Banco Central do Brasil (BCB)
1993-04-01;Inadimplência PF Recursos Livres;Risco;81.80;% ao Mês;Banco Central do Brasil (BCB)
1993-05-01;Inadimplência PF Recursos Livres;Risco;88.89;% ao Mês;Banco Central do Brasil (BCB)
1993-06-01;Inadimplência PF Recursos Livres;Risco;96.55;% ao Mês;Banco Central do Brasil (BCB)
