data,valor
02/01/2023,"13,65"
03/01/2023,"13,65"
04/01/2023,"13,65"
05/01/2023,"13,65"
06/01/2023,"13,65"
09/01/2023,"13,65"
10/01/2023,"13,65"
11/01/2023,"13,65"
12/01/2023,"13,65"
13/01/2023,"13,65"
16/01/2023,"13,65"
17/01/2023,"13,65"
18/01/2023,"13,65"
19/01/2023,"13,65"
20/01/2023,"13,65"
23/01/2023,"13,65"
24/01/2023,"13,65"
25/01/2023,"13,65"
26/01/2023,"13,65"
27/01/2023,"13,65"
30/01/2023,"13,65"
31/01/2023,"13,65"
01/02/2023,"13,65"
02/02/2023,"13,65"
03/02/2023,"13,65"
06/02/2023,"13,65"
07/02/2023,"13,65"
08/02/2023,"13,65"
09/02/2023,"13,65"
10/02/2023,"13,65"
13/02/2023,"13,65"
14/02/2023,"13,65"
15/02/2023,"13,65"
16/02/2023,"13,65"
17/02/2023,"13,65"
22/02/2023,"13,65"
23/02/2023,"13,65"
24/02/2023,"13,65"
27/02/2023,"13,65"
28/02/2023,"13,65"
01/03/2023,"13,65"
02/03/2023,"13,65"
03/03/2023,"13,65"
06/03/2023,"13,65"
07/03/2023,"13,65"
08/03/2023,"13,65"
09/03/2023,"13,65"
10/03/2023,"13,65"
13/03/2023,"13,65"
14/03/2023,"13,65"
15/03/2023,"13,65"
16/03/2023,"13,65"
17/03/2023,"13,65"
20/03/2023,"13,65"
21/03/2023,"13,65"
22/03/2023,"13,65"
23/03/2023,"13,65"
24/03/2023,"13,65"
27/03/2023,"13,65"
28/03/2023,"13,65"
29/03/2023,"13,65"
30/03/2023,"13,65"
31/03/2023,"13,65"
03/04/2023,"13,65"
04/04/2023,"13,65"
05/04/2023,"13,65"
06/04/2023,"13,65"
10/04/2023,"13,65"
11/04/2023,"13,65"
12/04/2023,"13,65"
13/04/2023,"13,65"
14/04/2023,"13,65"
17/04/2023,"13,65"
18/04/2023,"13,65"
19/04/2023,"13,65"
20/04/2023,"13,65"
24/04/2023,"13,65"
25/04/2023,"13,65"
26/04/2023,"13,65"
27/04/2023,"13,65"
28/04/2023,"13,65"
02/05/2023,"13,65"
03/05/2023,"13,65"
04/05/2023,"13,65"
05/05/2023,"13,65"
08/05/2023,"13,65"
09/05/2023,"13,65"
10/05/2023,"13,65"
11/05/2023,"13,65"
12/05/2023,"13,65"
15/05/2023,"13,65"
16/05/2023,"13,65"
17/05/2023,"13,65"
18/05/2023,"13,65"
19/05/2023,"13,65"
22/05/2023,"13,65"
23/05/2023,"13,65"
24/05/2023,"13,65"
25/05/2023,"13,65"
26/05/2023,"13,65"
29/05/2023,"13,65"
30/05/2023,"13,65"
31/05/2023,"13,65"
01/06/2023,"13,65"
02/06/2023,"13,65"
05/06/2023,"13,65"
06/06/2023,"13,65"
07/06/2023,"13,65"
09/06/2023,"13,65"
12/06/2023,"13,65"
13/06/2023,"13,65"
14/06/2023,"13,65"
15/06/2023,"13,65"
16/06/2023,"13,65"
19/06/2023,"13,65"
20/06/2023,"13,65"
21/06/2023,"13,65"
22/06/2023,"13,65"
23/06/2023,"13,65"
26/06/2023,"13,65"
27/06/2023,"13,65"
28/06/2023,"13,65"
29/06/2023,"13,65"
30/06/2023,"13,65"
03/07/2023,"13,65"
04/07/2023,"13,65"
05/07/2023,"13,65"
06/07/2023,"13,65"
07/07/2023,"13,65"
10/07/2023,"13,65"
11/07/2023,"13,65"
12/07/2023,"13,65"
13/07/2023,"13,65"
14/07/2023,"13,65"
17/07/2023,"13,65"
18/07/2023,"13,65"
19/07/2023,"13,65"
20/07/2023,"13,65"
21/07/2023,"13,65"
24/07/2023,"13,65"
25/07/2023,"13,65"
26/07/2023,"13,65"
27/07/2023,"13,65"
28/07/2023,"13,65"
31/07/2023,"13,65"
01/08/2023,"13,65"
02/08/2023,"13,65"
03/08/2023,"13,15"
04/08/2023,"13,15"
07/08/2023,"13,15"
08/08/2023,"13,15"
09/08/2023,"13,15"
10/08/2023,"13,15"
11/08/2023,"13,15"
14/08/2023,"13,15"
15/08/2023,"13,15"
16/08/2023,"13,15"
17/08/2023,"13,15"
18/08/2023,"13,15"
21/08/2023,"13,15"
22/08/2023,"13,15"
23/08/2023,"13,15"
24/08/2023,"13,15"
25/08/2023,"13,15"
28/08/2023,"13,15"
29/08/2023,"13,15"
30/08/2023,"13,15"
31/08/2023,"13,15"
01/09/2023,"13,15"
04/09/2023,"13,15"
05/09/2023,"13,15"
06/09/2023,"13,15"
08/09/2023,"13,15"
11/09/2023,"13,15"
12/09/2023,"13,15"
13/09/2023,"13,15"
14/09/2023,"13,15"
15/09/2023,"13,15"
18/09/2023,"13,15"
19/09/2023,"13,15"
20/09/2023,"13,15"
21/09/2023,"12,65"
22/09/2023,"12,65"
25/09/2023,"12,65"
26/09/2023,"12,65"
27/09/2023,"12,65"
28/09/2023,"12,65"
29/09/2023,"12,65"
02/10/2023,"12,65"
03/10/2023,"12,65"
04/10/2023,"12,65"
05/10/2023,"12,65"
06/10/2023,"12,65"
09/10/2023,"12,65"
10/10/2023,"12,65"
11/10/2023,"12,65"
13/10/2023,"12,65"
16/10/2023,"12,65"
17/10/2023,"12,65"
