Data,1178 - % a.a.,11 - % a.d.,Tx. %acum.
04/01/1994,"6.389,83","1,669667","3,369922"
05/01/1994,"6.384,46","1,669333","5,095511"
06/01/1994,"6.384,46","1,669333","6,849905"
07/01/1994,"6.384,46","1,669333","8,633585"
10/01/1994,"6.379,11","1,669","10,44668"
11/01/1994,"6.384,46","1,669333","12,290403"
12/01/1994,"6.384,46","1,669333","14,164904"
13/01/1994,"6.389,83","1,669667","16,071077"
14/01/1994,"6.395,19","1,67","18,009464"
17/01/1994,"6.395,19","1,67","19,980222"
18/01/1994,"6.400,55","1,670333","21,984292"
19/01/1994,"7.492,53","1,733","24,098279"
20/01/1994,"7.492,53","1,733","26,248903"
21/01/1994,"7.492,53","1,733","28,436796"
24/01/1994,"7.492,53","1,733","30,662606"
25/01/1994,"7.492,53","1,733","32,926989"
26/01/1994,"8.855,34","1,799667","35,319232"
27/01/1994,"8.855,34","1,799667","37,754527"
28/01/1994,"8.862,72","1,8","40,234109"
31/01/1994,"8.862,72","1,8","42,758323"
01/02/1994,"14.853,88","2,007","45,623482"
02/02/1994,"14.866,18","2,007333","48,546631"
03/02/1994,"14.841,58","2,006667","51,527467"
04/02/1994,"14.841,58","2,006667","54,568118"
07/02/1994,"14.238,81","1,99","57,644024"
08/02/1994,"14.215,20","1,989333","60,780089"
09/02/1994,"14.203,43","1,989","63,978005"
10/02/1994,"14.179,87","1,988333","67,238433"
11/02/1994,"13.424,27","1,966333","70,526898"
16/02/1994,"13.424,27","1,966333","73,880024"
17/02/1994,"13.424,27","1,966333","77,299085"
18/02/1994,"13.402,03","1,965667","80,784194"
21/02/1994,"13.402,03","1,965667","84,33781"
22/02/1994,"13.435,44","1,966667","87,96312"
23/02/1994,"11.550,33","1,906","91,545698"
24/02/1994,"11.550,33","1,906","95,196559"
25/02/1994,"11.531,13","1,905333","98,915703"
28/02/1994,"11.521,56","1,905","102,705047"
01/03/1994,"5.791,74","1,630667","106,010491"
02/03/1994,"5.786,86","1,630333","109,369148"
03/03/1994,"5.786,86","1,630333","112,782563"
04/03/1994,"5.791,74","1,630667","116,252338"
07/03/1994,"5.791,74","1,630667","119,778693"
08/03/1994,"6.416,68","1,671333","123,451927"
09/03/1994,"6.596,79","1,682333","127,211133"
10/03/1994,"6.613,40","1,683333","131,035853"
11/03/1994,"6.618,96","1,683667","134,925727"
14/03/1994,"6.770,50","1,692667","138,902237"
15/03/1994,"6.781,85","1,693333","142,947648"
16/03/1994,"6.781,85","1,693333","147,06156"
17/03/1994,"6.776,18","1,693","151,244313"
18/03/1994,"7.233,73","1,719","155,563202"
21/03/1994,"8.855,34","1,799667","160,162489"
22/03/1994,"10.906,13","1,883","165,061349"
23/03/1994,"10.915,20","1,883333","170,053337"
24/03/1994,"10.897,07","1,882667","175,137542"
25/03/1994,"10.906,13","1,883","180,318381"
28/03/1994,"10.969,82","1,885333","185,603316"
29/03/1994,"10.960,71","1,885","190,986939"
30/03/1994,"14.440,99","1,995667","196,794069"
04/04/1994,"17.371,29","2,07","202,937707"
05/04/1994,"17.142,75","2,064667","209,192361"
06/04/1994,"17.142,75","2,064667","215,576154"
07/04/1994,"17.256,62","2,067333","222,100164"
08/04/1994,"17.270,94","2,067667","228,760123"
11/04/1994,"17.270,94","2,067667","235,557787"
12/04/1994,"17.256,62","2,067333","242,494884"
13/04/1994,"17.242,36","2,067","249,574253"
14/04/1994,"17.228,11","2,066667","256,798789"
15/04/1994,"17.228,11","2,066667","264,172632"
18/04/1994,"17.213,82","2,066333","271,697651"
19/04/1994,"17.199,59","2,066","279,376925"
20/04/1994,"16.987,34","2,061","287,195883"
22/04/1994,"16.017,32","2,037333","295,084353"
25/04/1994,"14.369,32","1,993667","302,961019"
26/04/1994,"13.115,88","1,957","310,846966"
27/04/1994,"12.375,19","1,933667","318,791378"
28/04/1994,"11.340,97","1,898667","326,742832"
29/04/1994,"10.788,80","1,878667","334,759909"
02/05/1994,"8.186,87","1,768333","342,447912"
03/05/1994,"7.970,86","1,757667","350,224673"
04/05/1994,"8.037,75","1,761","358,153129"
05/05/1994,"8.051,20","1,761667","366,224262"
06/05/1994,"8.118,76","1,765","374,45312"
09/05/1994,"8.139,13","1,766","382,831962"
10/05/1994,"8.500,43","1,783333","391,442464"
11/05/1994,"8.951,91","1,804","400,308086"
12/05/1994,"8.966,87","1,804667","409,336981"
13/05/1994,"9.110,12","1,811","418,561073"
16/05/1994,"9.125,34","1,811667","427,955673"
17/05/1994,"9.125,34","1,811667","437,520472"
18/05/1994,"9.132,94","1,812","447,260343"
19/05/1994,"9.125,34","1,811667","457,174878"
20/05/1994,"9.117,71","1,811333","467,26717"
23/05/1994,"9.125,34","1,811667","477,544163"
24/05/1994,"9.125,34","1,811667","488,00734"
25/05/1994,"9.125,34","1,811667","498,660075"
26/05/1994,"9.125,34","1,811667","509,505802"
27/05/1994,"9.102,53","1,810667","520,541922"
30/05/1994,"9.125,34","1,811667","531,784075"
31/05/1994,"9.125,34","1,811667","543,229899"
01/06/1994,"11.089,12","1,889667","555,384802"
03/06/1994,"10.887,99","1,882333","567,721326"
06/06/1994,"10.887,99","1,882333","580,290065"
07/06/1994,"10.906,13","1,883","593,099927"
08/06/1994,"11.378,74","1,9","606,268826"
09/06/1994,"11.502,40","1,904333","619,718536"
10/06/1994,"11.832,18","1,915667","633,505947"
13/06/1994,"12.050,49","1,923","647,611266"
14/06/1994,"12.211,76","1,928333","662,027701"
15/06/1994,"12.252,43","1,929667","676,732298"
16/06/1994,"13.050,71","1,955","691,917414"
17/06/1994,"13.280,22","1,962","707,454834"
20/06/1994,"14.016,18","1,983667","723,472049"
21/06/1994,"15.278,44","2,018333","740,092457"
22/06/1994,"16.474,82","2,048667","757,303154"
23/06/1994,"16.763,81","2,055667","774,926452"
24/06/1994,"16.598,06","2,051667","792,877029"
27/06/1994,"17.371,29","2,07","811,359584"
28/06/1994,"17.778,52","2,079333","830,309784"
29/06/1994,"17.675,84","2,077","849,632319"
30/06/1994,"15.405,60","2,021667","868,830722"
04/07/1994,"170,96","0,396333","872,670518"
05/07/1994,"173,23","0,399667","876,557961"
06/07/1994,"172,32","0,398333","880,447913"
07/07/1994,"173,23","0,399667","884,36644"
08/07/1994,"169,15","0,393667","888,241566"
11/07/1994,"163,58","0,385333","892,049587"
12/07/1994,"159,85","0,379667","895,816072"
13/07/1994,"159,85","0,379667","899,596857"
14/07/1994,"159,85","0,379667","903,391996"
15/07/1994,"138,19","0,345","906,853698"
18/07/1994,"137,2","0,343333","910,310559"
19/07/1994,"136,4","0,342","913,765822"
20/07/1994,"136,21","0,341667","917,229525"
21/07/1994,"99,61","0,274667","920,023519"
22/07/1994,"98,61","0,272667","922,804786"
25/07/1994,"98,11","0,271667","925,583409"
26/07/1994,"88,4","0,251667","928,164464"
27/07/1994,"85,43","0,245333","930,686891"
28/07/1994,"85,12","0,244667","933,208642"
29/07/1994,"70,8","0,212667","935,405936"
01/08/1994,"59,32","0,185","937,321436"
02/08/1994,"58,92","0,184","939,230108"
03/08/1994,"58,79","0,183667","941,138831"
04/08/1994,"58,79","0,183667","943,051059"
05/08/1994,"59,59","0,185667","944,987661"
08/08/1994,"56,02","0,176667","946,833809"
09/08/1994,"56,28","0,177333","948,690191"
10/08/1994,"56,67","0,178333","950,560352"
11/08/1994,"56,02","0,176667","952,416345"
12/08/1994,"55,89","0,176333","954,272102"
15/08/1994,"56,28","0,177333","956,141675"
16/08/1994,"55,63","0,175667","957,996967"
17/08/1994,"55,76","0,176","959,859042"
18/08/1994,"55,89","0,176333","961,727923"
19/08/1994,"55,37","0,175","963,585947"
22/08/1994,"55,63","0,175667","965,454316"
23/08/1994,"55,37","0,175","967,318861"
24/08/1994,"55,11","0,174333","969,17955"
25/08/1994,"55,37","0,175","971,050615"
26/08/1994,"55,76","0,176","972,935664"
29/08/1994,"55,37","0,175","974,813301"
30/08/1994,"55,5","0,175333","976,697804"
31/08/1994,"55,5","0,175333","978,58561"
01/09/1994,"55,63","0,175667","980,480329"
02/09/1994,"56,41","0,177667","982,399986"
05/09/1994,"56,41","0,177667","984,323054"
06/09/1994,"56,67","0,178333","986,256759"
08/09/1994,"56,81","0,178667","988,197542"
09/09/1994,"56,54","0,178","990,134533"
12/09/1994,"56,81","0,178667","992,082244"
13/09/1994,"59,73","0,186","994,113517"
14/09/1994,"57,2","0,179667","996,079278"
15/09/1994,"56,81","0,178667","998,03761"
16/09/1994,"57,2","0,179667","1.000,01"
19/09/1994,"57,2","0,179667","1.001,99"
20/09/1994,"57,33","0,18","1.003,97"
21/09/1994,"57,2","0,179667","1.005,95"
22/09/1994,"57,2","0,179667","1.007,94"
23/09/1994,"57,07","0,179333","1.009,93"
26/09/1994,"57,07","0,179333","1.011,92"
27/09/1994,"57,2","0,179667","1.013,92"
28/09/1994,"57,2","0,179667","1.015,92"
29/09/1994,"57,33","0,18","1.017,93"
30/09/1994,"57,33","0,18","1.019,94"
04/10/1994,"59,99","0,186667","1.022,03"
05/10/1994,"59,99","0,186667","1.024,12"
06/10/1994,"59,99","0,186667","1.026,22"
07/10/1994,"59,86","0,186333","1.028,32"
10/10/1994,"59,86","0,186333","1.030,42"
11/10/1994,"59,99","0,186667","1.032,53"
13/10/1994,"60,13","0,187","1.034,65"
14/10/1994,"60,13","0,187","1.036,77"
17/10/1994,"59,99","0,186667","1.038,89"
18/10/1994,"59,99","0,186667","1.041,02"
19/10/1994,"59,99","0,186667","1.043,15"
20/10/1994,"59,99","0,186667","1.045,28"
21/10/1994,"59,99","0,186667","1.047,42"
24/10/1994,"60,13","0,187","1.049,57"
25/10/1994,"60,13","0,187","1.051,72"
26/10/1994,"60,26","0,187333","1.053,87"
27/10/1994,"60,4","0,187667","1.056,04"
28/10/1994,"60,26","0,187333","1.058,21"
31/10/1994,"64,76","0,198333","1.060,50"
01/11/1994,"64,62","0,198","1.062,80"
03/11/1994,"65,17","0,199333","1.065,12"
04/11/1994,"65,31","0,199667","1.067,45"
07/11/1994,"65,31","0,199667","1.069,78"
08/11/1994,"65,31","0,199667","1.072,11"
09/11/1994,"65,31","0,199667","1.074,45"
10/11/1994,"65,31","0,199667","1.076,80"
11/11/1994,"65,45","0,2","1.079,15"
14/11/1994,"65,45","0,2","1.081,51"
16/11/1994,"65,45","0,2","1.083,87"
17/11/1994,"65,45","0,2","1.086,24"
18/11/1994,"65,45","0,2","1.088,61"
21/11/1994,"65,45","0,2","1.090,99"
22/11/1994,"65,45","0,2","1.093,37"
23/11/1994,"65,45","0,2","1.095,76"
24/11/1994,"65,45","0,2","1.098,15"
25/11/1994,"65,45","0,2","1.100,55"
28/11/1994,"65,45","0,2","1.102,95"
29/11/1994,"65,45","0,2","1.105,35"
30/11/1994,"65,45","0,2","1.107,76"
01/12/1994,"59,19","0,184667","1.109,99"
02/12/1994,"58,26","0,182333","1.112,20"
05/12/1994,"58,26","0,182333","1.114,41"
06/12/1994,"57,99","0,181667","1.116,62"
07/12/1994,"54,85","0,173667","1.118,73"
08/12/1994,"54,98","0,174","1.120,85"
09/12/1994,"54,98","0,174","1.122,97"
12/12/1994,"55,11","0,174333","1.125,11"
13/12/1994,"54,85","0,173667","1.127,23"
14/12/1994,"54,46","0,172667","1.129,35"
15/12/1994,"53,17","0,169333","1.131,43"
16/12/1994,"51,63","0,165333","1.133,47"
19/12/1994,"52,02","0,166333","1.135,52"
20/12/1994,"51,25","0,164333","1.137,55"
21/12/1994,"50,62","0,162667","1.139,57"
22/12/1994,"50,75","0,163","1.141,59"
23/12/1994,"50,24","0,161667","1.143,59"
26/12/1994,"50,24","0,161667","1.145,60"
27/12/1994,"49,86","0,160667","1.147,61"
28/12/1994,"49,86","0,160667","1.149,61"
29/12/1994,"49,86","0,160667","1.151,62"
30/12/1994,"49,86","0,160667","1.153,63"
03/01/1994,"47,37","0,154","1.155,56"
03/01/1995,"47,12","0,153333","1.157,48"
04/01/1995,"47,12","0,153333","1.159,41"
05/01/1995,"47,12","0,153333","1.161,34"
06/01/1995,"47,12","0,153333","1.163,28"
09/01/1995,"47,12","0,153333","1.165,21"
10/01/1995,47,"0,153","1.167,15"
11/01/1995,"45,89","0,15","1.169,05"
12/01/1995,"45,77","0,149667","1.170,95"
13/01/1995,"45,89","0,15","1.172,86"
16/01/1995,"45,77","0,149667","1.174,76"
17/01/1995,"45,77","0,149667","1.176,67"
18/01/1995,"46,02","0,150333","1.178,59"
19/01/1995,"45,89","0,15","1.180,51"
20/01/1995,"45,89","0,15","1.182,43"
23/01/1995,"45,77","0,149667","1.184,35"
24/01/1995,"45,89","0,15","1.186,27"
25/01/1995,"45,77","0,149667","1.188,20"
26/01/1995,"45,65","0,149333","1.190,12"
