"data";"valor"
"01/01/2005";"13,84"
"01/02/2005";"14,19"
"01/03/2005";"14,56"
"01/04/2005";"14,96"
"01/05/2005";"15,32"
"01/06/2005";"15,48"
"01/07/2005";"15,74"
"01/08/2005";"16,19"
"01/09/2005";"16,43"
"01/10/2005";"16,68"
"01/11/2005";"16,92"
"01/12/2005";"16,84"
"01/01/2006";"17,14"
"01/02/2006";"17,36"
"01/03/2006";"17,66"
"01/04/2006";"17,96"
"01/05/2006";"18,23"
"01/06/2006";"18,28"
"01/07/2006";"18,47"
"01/08/2006";"18,71"
"01/09/2006";"18,81"
"01/10/2006";"18,89"
"01/11/2006";"19,08"
"01/12/2006";"18,99"
"01/01/2007";"19,24"
"01/02/2007";"19,43"
"01/03/2007";"19,07"
"01/04/2007";"19,38"
"01/05/2007";"19,87"
"01/06/2007";"20,05"
"01/07/2007";"20,52"
"01/08/2007";"20,68"
"01/09/2007";"20,85"
"01/10/2007";"21,41"
"01/11/2007";"21,70"
"01/12/2007";"21,74"
"01/01/2008";"22,05"
"01/02/2008";"22,24"
"01/03/2008";"22,68"
"01/04/2008";"23,09"
"01/05/2008";"23,39"
"01/06/2008";"23,44"
"01/07/2008";"23,60"
"01/08/2008";"23,63"
"01/09/2008";"23,70"
"01/10/2008";"24,01"
"01/11/2008";"23,62"
"01/12/2008";"23,53"
"01/01/2009";"23,32"
"01/02/2009";"23,28"
"01/03/2009";"23,27"
"01/04/2009";"23,38"
"01/05/2009";"23,65"
"01/06/2009";"23,71"
"01/07/2009";"23,72"
"01/08/2009";"23,87"
"01/09/2009";"24,07"
"01/10/2009";"24,16"
"01/11/2009";"24,31"
"01/12/2009";"24,53"
"01/01/2010";"24,65"
"01/02/2010";"24,67"
"01/03/2010";"24,92"
"01/04/2010";"25,11"
"01/05/2010";"25,45"
"01/06/2010";"25,51"
"01/07/2010";"25,94"
"01/08/2010";"26,09"
"01/09/2010";"26,22"
"01/10/2010";"26,39"
"01/11/2010";"26,74"
"01/12/2010";"27,04"
"01/01/2011";"27,06"
"01/02/2011";"27,07"
"01/03/2011";"27,56"
"01/04/2011";"27,53"
"01/05/2011";"27,56"
"01/06/2011";"27,55"
"01/07/2011";"27,45"
"01/08/2011";"27,68"
"01/09/2011";"27,86"
"01/10/2011";"27,89"
"01/11/2011";"27,81"
"01/12/2011";"27,73"
"01/01/2012";"27,81"
"01/02/2012";"27,70"
"01/03/2012";"27,60"
"01/04/2012";"27,58"
"01/05/2012";"27,65"
"01/06/2012";"27,65"
"01/07/2012";"27,59"
"01/08/2012";"27,55"
"01/09/2012";"27,29"
"01/10/2012";"27,33"
"01/11/2012";"27,35"
"01/12/2012";"27,33"
"01/01/2013";"27,32"
"01/02/2013";"27,22"
"01/03/2013";"26,92"
"01/04/2013";"26,88"
"01/05/2013";"26,80"
"01/06/2013";"26,60"
"01/07/2013";"26,56"
"01/08/2013";"26,46"
"01/09/2013";"26,24"
"01/10/2013";"26,14"
"01/11/2013";"26,01"
"01/12/2013";"25,86"
"01/01/2014";"25,75"
"01/02/2014";"25,54"
"01/03/2014";"25,30"
"01/04/2014";"25,15"
"01/05/2014";"25,07"
"01/06/2014";"25,04"
"01/07/2014";"24,93"
"01/08/2014";"24,83"
"01/09/2014";"24,81"
"01/10/2014";"24,83"
"01/11/2014";"24,66"
"01/12/2014";"24,73"
"01/01/2015";"24,82"
"01/02/2015";"24,70"
"01/03/2015";"24,62"
"01/04/2015";"24,62"
"01/05/2015";"24,55"
"01/06/2015";"24,50"
"01/07/2015";"24,58"
"01/08/2015";"24,61"
"01/09/2015";"24,68"
"01/10/2015";"24,60"
"01/11/2015";"24,39"
"01/12/2015";"23,99"
"01/01/2016";"23,92"
"01/02/2016";"23,65"
"01/03/2016";"23,46"
"01/04/2016";"23,26"
"01/05/2016";"23,17"
"01/06/2016";"23,02"
"01/07/2016";"22,83"
"01/08/2016";"22,73"
"01/09/2016";"22,52"
"01/10/2016";"22,45"
"01/11/2016";"22,45"
"01/12/2016";"22,27"
"01/01/2017";"22,17"
"01/02/2017";"22,01"
"01/03/2017";"21,95"
"01/04/2017";"21,68"
"01/05/2017";"21,66"
"01/06/2017";"21,62"
"01/07/2017";"21,60"
"01/08/2017";"21,63"
"01/09/2017";"21,53"
"01/10/2017";"21,63"
"01/11/2017";"21,74"
"01/12/2017";"21,65"
"01/01/2018";"21,77"
"01/02/2018";"21,73"
"01/03/2018";"21,76"
"01/04/2018";"21,92"
"01/05/2018";"22,12"
"01/06/2018";"22,19"
"01/07/2018";"22,21"
"01/08/2018";"22,43"
"01/09/2018";"22,40"
"01/10/2018";"22,65"
"01/11/2018";"23,07"
"01/12/2018";"23,24"
"01/01/2019";"23,50"
"01/02/2019";"23,69"
"01/03/2019";"23,71"
"01/04/2019";"23,92"
"01/05/2019";"24,19"
"01/06/2019";"24,48"
"01/07/2019";"24,68"
"01/08/2019";"25,04"
"01/09/2019";"25,14"
"01/10/2019";"25,30"
"01/11/2019";"25,50"
"01/12/2019";"25,52"
"01/01/2020";"25,65"
"01/02/2020";"25,62"
"01/03/2020";"25,62"
"01/04/2020";"25,00"
"01/05/2020";"24,29"
"01/06/2020";"23,80"
"01/07/2020";"23,72"
"01/08/2020";"23,72"
"01/09/2020";"24,01"
"01/10/2020";"24,48"
"01/11/2020";"25,12"
"01/12/2020";"25,61"
"01/01/2021";"25,80"
"01/02/2021";"25,90"
"01/03/2021";"25,98"
"01/04/2021";"26,27"
"01/05/2021";"26,90"
"01/06/2021";"27,39"
"01/07/2021";"27,83"
"01/08/2021";"28,72"
"01/09/2021";"29,46"
"01/10/2021";"29,99"
"01/11/2021";"30,59"
"01/12/2021";"31,01"
"01/01/2022";"31,17"
"01/02/2022";"31,05"
"01/03/2022";"31,09"
"01/04/2022";"31,30"
"01/05/2022";"31,25"
"01/06/2022";"31,35"
"01/07/2022";"31,48"
"01/08/2022";"31,38"
"01/09/2022";"31,32"
"01/10/2022";"31,54"
"01/11/2022";"31,39"
"01/12/2022";"31,07"
"01/01/2023";"31,09"
"01/02/2023";"30,86"
"01/03/2023";"30,74"
"01/04/2023";"30,66"
"01/05/2023";"30,87"
"01/06/2023";"30,46"
"01/07/2023";"30,13"
"01/08/2023";"30,28"
"01/09/2023";"30,11"
"01/10/2023";"30,16"
"01/11/2023";"30,16"
"01/12/2023";"29,84"
"01/01/2024";"30,06"
"01/02/2024";"30,00"
"01/03/2024";"29,97"
"01/04/2024";"29,94"
"01/05/2024";"29,82"
"01/06/2024";"29,86"
"01/07/2024";"29,97"
"01/08/2024";"30,09"
"01/09/2024";"30,04"
"01/10/2024";"30,09"
"01/11/2024";"30,28"
"01/12/2024";"30,33"
"01/01/2025";"30,55"
"01/02/2025";"30,50"
"01/03/2025";"30,76"
"01/04/2025";"30,70"
"01/05/2025";"30,62"
"01/06/2025";"30,56"
"01/07/2025";"30,47"
"01/08/2025";"30,67"
"01/09/2025";"30,74"
