DATA_BASE;TIPO_DESENROLA;UNIDADE_FEDERACAO;COD_CONGLOMERADO_FINANCEIRO;NOME_CONGLOMERADO_FINANCEIRO;NUMERO_OPERACOES;VOLUME_OPERACOES
202309;2;AC;49906;BB;142;1421991,10
202309;2;AC;10045;BRADESCO;15;83829,79
202309;2;AC;49944;BTG PACTUAL;7;37788,79
202309;2;AC;51626;CAIXA ECONÔMICA FEDERAL;81;246145,92
202309;2;AC;51884;INTER;4;12306,86
202309;2;AC;10069;ITAU;144;316331,72
202309;2;AC;30379;SANTANDER;232;1024530,13
202309;2;AC;51011;VOTORANTIM;16;63205,99
202309;2;AL;49906;BB;363;1913928,14
202309;2;AL;13009717;BCO DO EST. DE SE S.A.;1;3362,67
202309;2;AL;10045;BRADESCO;108;511735,61
202309;2;AL;49944;BTG PACTUAL;21;132834,28
202309;2;AL;51626;CAIXA ECONÔMICA FEDERAL;312;693197,85
202309;2;AL;51884;INTER;35;134651,20
202309;2;AL;10069;ITAU;1358;2958270,91
202309;2;AL;30379;SANTANDER;1259;4865549,91
202309;2;AL;51011;VOTORANTIM;48;148710,10
202309;2;AM;49906;BB;306;2447504,32
202309;2;AM;10045;BRADESCO;368;2483097,52
202309;2;AM;49944;BTG PACTUAL;21;153686,00
202309;2;AM;51626;CAIXA ECONÔMICA FEDERAL;218;438181,32
202309;2;AM;51884;INTER;22;74837,60
202309;2;AM;10069;ITAU;1305;3174839,79
202309;2;AM;30379;SANTANDER;2019;8378315,91
202309;2;AM;51011;VOTORANTIM;63;613296,71
202309;2;AP;49906;BB;222;2057480,43
202309;2;AP;10045;BRADESCO;18;187564,28
202309;2;AP;49944;BTG PACTUAL;7;36848,42
202309;2;AP;51626;CAIXA ECONÔMICA FEDERAL;66;150355,33
202309;2;AP;51884;INTER;14;48998,53
202309;2;AP;10069;ITAU;200;468681,72
202309;2;AP;30379;SANTANDER;407;1472417,07
202309;2;AP;51011;VOTORANTIM;11;59548,56
202309;2;BA;49906;BB;1535;11123296,17
202309;2;BA;10045;BRADESCO;681;3687763,09
202309;2;BA;49944;BTG PACTUAL;75;352497,84
202309;2;BA;51626;CAIXA ECONÔMICA FEDERAL;1198;2069243,18
202309;2;BA;51884;INTER;128;556487,82
202309;2;BA;10069;ITAU;6891;15364399,76
202309;2;BA;30379;SANTANDER;8116;29214649,42
202309;2;BA;51011;VOTORANTIM;192;1293828,45
202309;2;CE;49906;BB;973;6981888,88
202309;2;CE;10045;BRADESCO;431;2998785,50
202309;2;CE;49944;BTG PACTUAL;41;175565,65
202309;2;CE;51626;CAIXA ECONÔMICA FEDERAL;711;1299682,86
202309;2;CE;51884;INTER;77;376253,75
202309;2;CE;10069;ITAU;4048;8987457,97
202309;2;CE;30379;SANTANDER;4294;17221507,89
202309;2;CE;51011;VOTORANTIM;160;798643,76
202309;2;DF;49906;BB;400;4220774,28
202309;2;DF;10045;BRADESCO;169;911548,15
202309;2;DF;49944;BTG PACTUAL;35;217515,46
202309;2;DF;51626;CAIXA ECONÔMICA FEDERAL;444;1049676,79
202309;2;DF;51884;INTER;59;365436,86
202309;2;DF;10069;ITAU;2256;6192745,64
202309;2;DF;30379;SANTANDER;2493;14386697,12
202309;2;DF;51011;VOTORANTIM;77;452691,98
202309;2;ES;49906;BB;292;1968526,87
202309;2;ES;10045;BRADESCO;152;1048216,27
202309;2;ES;49944;BTG PACTUAL;15;42593,50
202309;2;ES;51626;CAIXA ECONÔMICA FEDERAL;361;705873,54
202309;2;ES;51884;INTER;53;234107,98
202309;2;ES;10069;ITAU;1511;3541674,83
202309;2;ES;30379;SANTANDER;2091;8672540,78
202309;2;ES;51011;VOTORANTIM;93;530402,84
202309;2;GO;49906;BB;662;4598286,93
202309;2;GO;10045;BRADESCO;323;2082691,70
202309;2;GO;49944;BTG PACTUAL;42;238775,52
202309;2;GO;51626;CAIXA ECONÔMICA FEDERAL;1071;2122004,77
202309;2;GO;51884;INTER;73;334468,97
202309;2;GO;10069;ITAU;3993;9617629,21
202309;2;GO;30379;SANTANDER;3740;15773650,87
202309;2;GO;51011;VOTORANTIM;171;1150371,15
202309;2;MA;49906;BB;1081;7578866,55
202309;2;MA;10045;BRADESCO;248;1232452,89
202309;2;MA;49944;BTG PACTUAL;25;215612,95
202309;2;MA;51626;CAIXA ECONÔMICA FEDERAL;321;542159,53
202309;2;MA;51884;INTER;28;122086,39
202309;2;MA;10069;ITAU;1401;3071844,10
202309;2;MA;30379;SANTANDER;1941;7420282,93
202309;2;MA;51011;VOTORANTIM;81;694436,73
202309;2;MG;49906;BB;1785;15715114,79
202309;2;MG;10045;BRADESCO;792;4450288,49
202309;2;MG;49944;BTG PACTUAL;108;680150,12
202309;2;MG;51626;CAIXA ECONÔMICA FEDERAL;1918;3224008,51
202309;2;MG;51884;INTER;329;1371674,62
202309;2;MG;10069;ITAU;11094;25793531,00
202309;2;MG;30379;SANTANDER;11117;47495599,89
202309;2;MG;51011;VOTORANTIM;552;2958359,05
202309;2;MS;49906;BB;478;3651703,07
202309;2;MS;10045;BRADESCO;255;1920002,83
202309;2;MS;49944;BTG PACTUAL;16;105489,09
202309;2;MS;51626;CAIXA ECONÔMICA FEDERAL;302;532184,85
202309;2;MS;51884;INTER;21;145094,22
202309;2;MS;10069;ITAU;1003;2466696,90
202309;2;MS;30379;SANTANDER;1804;8446618,10
202309;2;MS;51011;VOTORANTIM;150;1061853,40
202309;2;MT;49906;BB;538;4232667,86
202309;2;MT;10045;BRADESCO;201;1444357,42
202309;2;MT;49944;BTG PACTUAL;16;150234,67
202309;2;MT;51626;CAIXA ECONÔMICA FEDERAL;319;593721,84
202309;2;MT;51884;INTER;38;215852,55
202309;2;MT;10069;ITAU;1063;2630873,00
202309;2;MT;30379;SANTANDER;1523;8063816,46
202309;2;MT;51011;VOTORANTIM;117;854615,33
202309;2;PA;49906;BB;858;5940895,07
202309;2;PA;10045;BRADESCO;350;2238950,66
202309;2;PA;49944;BTG PACTUAL;37;328941,60
202309;2;PA;51626;CAIXA ECONÔMICA FEDERAL;534;876895,33
202309;2;PA;51884;INTER;53;166117,43
202309;2;PA;10069;ITAU;2218;4904138,56
202309;2;PA;30379;SANTANDER;2869;10646449,27
202309;2;PA;51011;VOTORANTIM;103;935395,94
202309;2;PB;49906;BB;505;3238703,11
202309;2;PB;10045;BRADESCO;192;954527,27
202309;2;PB;49944;BTG PACTUAL;29;66923,05
202309;2;PB;51626;CAIXA ECONÔMICA FEDERAL;310;577605,31
202309;2;PB;51884;INTER;32;103839,54
202309;2;PB;10069;ITAU;2118;5277151,05
202309;2;PB;30379;SANTANDER;1986;7796690,03
202309;2;PB;51011;VOTORANTIM;96;537513,08
202309;2;PE;49906;BB;776;4787368,49
202309;2;PE;10045;BRADESCO;482;3319105,38
202309;2;PE;49944;BTG PACTUAL;65;260209,44
202309;2;PE;51626;CAIXA ECONÔMICA FEDERAL;620;954527,72
202309;2;PE;51884;INTER;78;352102,38
202309;2;PE;10069;ITAU;5336;12140452,61
202309;2;PE;30379;SANTANDER;5597;23336897,49
202309;2;PE;51011;VOTORANTIM;134;752789,86
202309;2;PI;49906;BB;635;4202100,76
202309;2;PI;10045;BRADESCO;97;450542,18
202309;2;PI;49944;BTG PACTUAL;25;59721,69
202309;2;PI;51626;CAIXA ECONÔMICA FEDERAL;364;687492,63
202309;2;PI;51884;INTER;27;99953,35
202309;2;PI;10069;ITAU;1027;2049488,25
202309;2;PI;30379;SANTANDER;1072;4229645,13
202309;2;PI;51011;VOTORANTIM;56;331480,73
202309;2;PR;49906;BB;749;5265309,78
202309;2;PR;10045;BRADESCO;606;3707587,46
202309;2;PR;49944;BTG PACTUAL;80;688144,01
202309;2;PR;51626;CAIXA ECONÔMICA FEDERAL;1806;3980464,66
202309;2;PR;51884;INTER;105;481094,33
202309;2;PR;10069;ITAU;6894;18380896,09
202309;2;PR;30379;SANTANDER;6817;30264936,09
202309;2;PR;51011;VOTORANTIM;470;3106807,69
202309;2;RJ;49906;BB;1016;8235855,94
202309;2;RJ;13009717;BCO DO EST. DE SE S.A.;1;6162,61
202309;2;RJ;10045;BRADESCO;1401;9536290,18
202309;2;RJ;49944;BTG PACTUAL;148;909381,28
202309;2;RJ;51626;CAIXA ECONÔMICA FEDERAL;1449;2604605,23
202309;2;RJ;51884;INTER;156;819773,96
202309;2;RJ;10069;ITAU;18191;42760302,13
202309;2;RJ;30379;SANTANDER;19828;89756710,17
202309;2;RJ;51011;VOTORANTIM;522;3497058,82
202309;2;RN;49906;BB;602;4654464,31
202309;2;RN;10045;BRADESCO;113;627074,49
202309;2;RN;49944;BTG PACTUAL;14;60528,93
202309;2;RN;51626;CAIXA ECONÔMICA FEDERAL;286;628503,55
202309;2;RN;51884;INTER;45;172322,86
202309;2;RN;10069;ITAU;1746;3854450,91
202309;2;RN;30379;SANTANDER;1755;7319779,23
202309;2;RN;51011;VOTORANTIM;91;442117,64
202309;2;RO;49906;BB;251;2971267,06
202309;2;RO;10045;BRADESCO;56;315609,62
202309;2;RO;49944;BTG PACTUAL;8;22097,62
202309;2;RO;51626;CAIXA ECONÔMICA FEDERAL;189;360081,86
202309;2;RO;51884;INTER;17;89880,38
202309;2;RO;10069;ITAU;348;889699,28
202309;2;RO;30379;SANTANDER;544;2833389,50
202309;2;RO;51011;VOTORANTIM;44;397045,38
202309;2;RR;49906;BB;139;1230805,17
202309;2;RR;10045;BRADESCO;15;128990,25
202309;2;RR;49944;BTG PACTUAL;4;13661,74
202309;2;RR;51626;CAIXA ECONÔMICA FEDERAL;56;147379,20
202309;2;RR;51884;INTER;5;44723,51
202309;2;RR;10069;ITAU;217;433423,89
202309;2;RR;30379;SANTANDER;308;821201,41
202309;2;RR;51011;VOTORANTIM;13;115647,06
202309;2;RS;49906;BB;692;4560585,82
202309;2;RS;10045;BRADESCO;286;1744096,34
202309;2;RS;49944;BTG PACTUAL;77;491758,08
202309;2;RS;51626;CAIXA ECONÔMICA FEDERAL;1741;3837881,24
202309;2;RS;51884;INTER;70;336269,06
202309;2;RS;10069;ITAU;4496;10102154,44
202309;2;RS;30379;SANTANDER;6260;25102168,93
202309;2;RS;51011;VOTORANTIM;314;1923797,55
202309;2;SC;49906;BB;698;5220895,95
202309;2;SC;10045;BRADESCO;290;2211704,06
202309;2;SC;49944;BTG PACTUAL;53;532260,69
202309;2;SC;51626;CAIXA ECONÔMICA FEDERAL;1119;2612646,63
202309;2;SC;51884;INTER;57;217159,84
202309;2;SC;10069;ITAU;3243;8077997,86
202309;2;SC;30379;SANTANDER;3528;15658847,06
202309;2;SC;51011;VOTORANTIM;353;2615836,71
202309;2;SE;49906;BB;233;1396925,16
202309;2;SE;13009717;BCO DO EST. DE SE S.A.;104;578089,76
202309;2;SE;10045;BRADESCO;58;219746,57
202309;2;SE;49944;BTG PACTUAL;9;34133,79
202309;2;SE;51626;CAIXA ECONÔMICA FEDERAL;214;311011,38
202309;2;SE;51884;INTER;11;80264,52
202309;2;SE;10069;ITAU;885;1922766,06
202309;2;SE;30379;SANTANDER;892;3364338,65
202309;2;SE;51011;VOTORANTIM;41;137712,82
202309;2;SP;49906;BB;3442;25233055,13
202309;2;SP;13009717;BCO DO EST. DE SE S.A.;2;10144,96
202309;2;SP;10045;BRADESCO;4189;25480390,73
202309;2;SP;49944;BTG PACTUAL;481;3235784,66
202309;2;SP;51626;CAIXA ECONÔMICA FEDERAL;4436;8265408,42
202309;2;SP;51884;INTER;587;2950358,72
202309;2;SP;10069;ITAU;41405;106970682,23
202309;2;SP;30379;SANTANDER;46420;214381420,12
202309;2;SP;51011;VOTORANTIM;2134;12337781,78
202309;2;TO;49906;BB;264;2177883,53
202309;2;TO;10045;BRADESCO;80;665578,73
202309;2;TO;49944;BTG PACTUAL;6;36191,19
202309;2;TO;51626;CAIXA ECONÔMICA FEDERAL;139;280314,04
202309;2;TO;51884;INTER;14;74673,71
202309;2;TO;10069;ITAU;273;501316,82
202309;2;TO;30379;SANTANDER;397;1486758,35
202309;2;TO;51011;VOTORANTIM;32;177195,75
202310;1;AC;51750;BANCO SICOOB;1;434,02
202310;1;AC;49906;BB;58;34550,72
202310;1;AC;30290;BMG;37;28745,90
202310;1;AC;10045;BRADESCO;24;12782,17
202310;1;AC;49944;BTG PACTUAL;67;53302,58
202310;1;AC;52072;C6 BANK;7;3372,69
202310;1;AC;51626;CAIXA ECONÔMICA FEDERAL;56;40733,02
202310;1;AC;51884;INTER;170;124914,70
202310;1;AC;10069;ITAU;23;18147,59
202310;1;AC;52058;NUBANK;373;233735,36
202310;1;AC;30379;SANTANDER;40;25853,03
202310;1;AC;3632872;SICOOB CREDISUL;2;3118,90
202310;1;AC;51011;VOTORANTIM;3;2978,62
202310;1;AL;51750;BANCO SICOOB;2;2103,80
202310;1;AL;49906;BB;118;66544,29
202310;1;AL;30290;BMG;170;142878,35
202310;1;AL;10045;BRADESCO;123;88367,98
202310;1;AL;49944;BTG PACTUAL;303;222783,24
202310;1;AL;52072;C6 BANK;37;20096,41
